Rank,Brand,Brand__URI,Value,Industry,Industry__URI,Label lookup,Label ok
10,Google,http://dbpedia.org/resource/Google,37448,Software,http://dbpedia.org/resource/Software,0,0
11,Google,http://dbpedia.org/resource/Google,37449,Software,http://dbpedia.org/resource/Software,0,0
12,Google,http://dbpedia.org/resource/Google,37450,Software,http://dbpedia.org/resource/Software,0,0
13,Google,http://dbpedia.org/resource/Google,37451,Software,http://dbpedia.org/resource/Software,0,0
14,Google,http://dbpedia.org/resource/Google,37452,Software,http://dbpedia.org/resource/Software,0,0
15,Google,http://dbpedia.org/resource/Google,37453,Software,http://dbpedia.org/resource/Software,0,0
16,Google,http://dbpedia.org/resource/Google,37454,Software,http://dbpedia.org/resource/Software,0,0
8,IBM,http://dbpedia.org/resource/IBM,36084,Software,http://dbpedia.org/resource/Software,1,1
9,IBM,http://dbpedia.org/resource/IBM,36085,Software,http://dbpedia.org/resource/Software,0,0
10,IBM,http://dbpedia.org/resource/IBM,36086,Software,http://dbpedia.org/resource/Software,0,0
11,IBM,http://dbpedia.org/resource/IBM,36087,Software,http://dbpedia.org/resource/Software,0,0
12,IBM,http://dbpedia.org/resource/IBM,36088,Software,http://dbpedia.org/resource/Software,0,0
13,IBM,http://dbpedia.org/resource/IBM,36089,Software,http://dbpedia.org/resource/Software,0,0
14,IBM,http://dbpedia.org/resource/IBM,36090,Software,http://dbpedia.org/resource/Software,0,0
15,IBM,http://dbpedia.org/resource/IBM,36091,Software,http://dbpedia.org/resource/Software,0,0
16,IBM,http://dbpedia.org/resource/IBM,36092,Software,http://dbpedia.org/resource/Software,0,0
17,IBM,http://dbpedia.org/resource/IBM,36093,Software,http://dbpedia.org/resource/Software,0,0
9,Citibank,http://dbpedia.org/resource/Citibank,31028,Bank,http://dbpedia.org/resource/Banking_industry,1,0
10,Citibank,http://dbpedia.org/resource/Citibank,31029,Bank,http://dbpedia.org/resource/Banking_industry,0,0
11,Citibank,http://dbpedia.org/resource/Citibank,31030,Bank,http://dbpedia.org/resource/Banking_industry,0,1
12,Citibank,http://dbpedia.org/resource/Citibank,31031,Bank,http://dbpedia.org/resource/Banking_industry,0,0
13,Citibank,http://dbpedia.org/resource/Citibank,31032,Bank,http://dbpedia.org/resource/Banking_industry,0,0
14,Citibank,http://dbpedia.org/resource/Citibank,31033,Bank,http://dbpedia.org/resource/Banking_industry,0,0
15,Citibank,http://dbpedia.org/resource/Citibank,31034,Bank,http://dbpedia.org/resource/Banking_industry,0,0
16,Citibank,http://dbpedia.org/resource/Citibank,31035,Bank,http://dbpedia.org/resource/Banking_industry,0,0
17,Citibank,http://dbpedia.org/resource/Citibank,31036,Bank,http://dbpedia.org/resource/Banking_industry,0,0
18,Citibank,http://dbpedia.org/resource/Citibank,31037,Bank,http://dbpedia.org/resource/Banking_industry,0,0
10,Toyota,http://dbpedia.org/resource/Toyota,30201,Cars,http://dbpedia.org/resource/Automotive_industry,1,1
11,Toyota,http://dbpedia.org/resource/Toyota,30202,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
12,Toyota,http://dbpedia.org/resource/Toyota,30203,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
13,Toyota,http://dbpedia.org/resource/Toyota,30204,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
14,Toyota,http://dbpedia.org/resource/Toyota,30205,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
15,Toyota,http://dbpedia.org/resource/Toyota,30206,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
16,Toyota,http://dbpedia.org/resource/Toyota,30207,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
17,Toyota,http://dbpedia.org/resource/Toyota,30208,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
18,Toyota,http://dbpedia.org/resource/Toyota,30209,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
19,Toyota,http://dbpedia.org/resource/Toyota,30210,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
11,McDonald's,http://dbpedia.org/resource/McDonald's,28985,F&D&T,,1,1
12,McDonald's,http://dbpedia.org/resource/McDonald's,28986,F&D&T,,0,0
13,McDonald's,http://dbpedia.org/resource/McDonald's,28987,F&D&T,,0,0
14,McDonald's,http://dbpedia.org/resource/McDonald's,28988,F&D&T,,0,0
15,McDonald's,http://dbpedia.org/resource/McDonald's,28989,F&D&T,,0,0
16,McDonald's,http://dbpedia.org/resource/McDonald's,28990,F&D&T,,0,0
17,McDonald's,http://dbpedia.org/resource/McDonald's,28991,F&D&T,,0,0
18,McDonald's,http://dbpedia.org/resource/McDonald's,28992,F&D&T,,0,0
19,McDonald's,http://dbpedia.org/resource/McDonald's,28993,F&D&T,,0,0
20,McDonald's,http://dbpedia.org/resource/McDonald's,28994,F&D&T,,0,0
12,Bof America,http://dbpedia.org/resource/Bank_of_America,28155,Bank,http://dbpedia.org/resource/Banking_industry,1,0
13,Bof America,http://dbpedia.org/resource/Bank_of_America,28156,Bank,http://dbpedia.org/resource/Banking_industry,0,0
14,Bof America,http://dbpedia.org/resource/Bank_of_America,28157,Bank,http://dbpedia.org/resource/Banking_industry,0,0
15,Bof America,http://dbpedia.org/resource/Bank_of_America,28158,Bank,http://dbpedia.org/resource/Banking_industry,0,0
13,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27312,Retail,http://dbpedia.org/resource/Retail_industry,1,0
14,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27313,Retail,http://dbpedia.org/resource/Retail_industry,0,0
15,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27314,Retail,http://dbpedia.org/resource/Retail_industry,0,0
16,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27315,Retail,http://dbpedia.org/resource/Retail_industry,0,0
17,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27316,Retail,http://dbpedia.org/resource/Retail_industry,0,0
18,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27317,Retail,http://dbpedia.org/resource/Retail_industry,0,0
19,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27318,Retail,http://dbpedia.org/resource/Retail_industry,0,0
20,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27319,Retail,http://dbpedia.org/resource/Retail_industry,0,0
21,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27320,Retail,http://dbpedia.org/resource/Retail_industry,0,0
22,Home Depot,http://dbpedia.org/resource/The_Home_Depot,27321,Retail,http://dbpedia.org/resource/Retail_industry,0,0
14,Nokia,http://dbpedia.org/resource/Nokia,26538,Technology,http://dbpedia.org/resource/Technology,1,1
15,Nokia,http://dbpedia.org/resource/Nokia,26539,Technology,http://dbpedia.org/resource/Technology,0,0
16,Nokia,http://dbpedia.org/resource/Nokia,26540,Technology,http://dbpedia.org/resource/Technology,0,0
17,Nokia,http://dbpedia.org/resource/Nokia,26541,Technology,http://dbpedia.org/resource/Technology,0,0
18,Nokia,http://dbpedia.org/resource/Nokia,26542,Technology,http://dbpedia.org/resource/Technology,0,0
19,Nokia,http://dbpedia.org/resource/Nokia,26543,Technology,http://dbpedia.org/resource/Technology,0,0
20,Nokia,http://dbpedia.org/resource/Nokia,26544,Technology,http://dbpedia.org/resource/Technology,0,0
21,Nokia,http://dbpedia.org/resource/Nokia,26545,Technology,http://dbpedia.org/resource/Technology,0,0
22,Nokia,http://dbpedia.org/resource/Nokia,26546,Technology,http://dbpedia.org/resource/Technology,0,0
23,Nokia,http://dbpedia.org/resource/Nokia,26547,Technology,http://dbpedia.org/resource/Technology,0,0
15,Intel,http://dbpedia.org/resource/Intel,25156,Technology,http://dbpedia.org/resource/Technology,1,1
16,Intel,http://dbpedia.org/resource/Intel,25157,Technology,http://dbpedia.org/resource/Technology,0,0
17,Intel,http://dbpedia.org/resource/Intel,25158,Technology,http://dbpedia.org/resource/Technology,0,0
18,Intel,http://dbpedia.org/resource/Intel,25159,Technology,http://dbpedia.org/resource/Technology,0,0
19,Intel,http://dbpedia.org/resource/Intel,25160,Technology,http://dbpedia.org/resource/Technology,0,0
20,Intel,http://dbpedia.org/resource/Intel,25161,Technology,http://dbpedia.org/resource/Technology,0,0
21,Intel,http://dbpedia.org/resource/Intel,25162,Technology,http://dbpedia.org/resource/Technology,0,0
22,Intel,http://dbpedia.org/resource/Intel,25163,Technology,http://dbpedia.org/resource/Technology,0,0
23,Intel,http://dbpedia.org/resource/Intel,25164,Technology,http://dbpedia.org/resource/Technology,0,0
24,Intel,http://dbpedia.org/resource/Intel,25165,Technology,http://dbpedia.org/resource/Technology,0,0
16,Vodafone,http://dbpedia.org/resource/Vodafone,24072,Telecom,http://dbpedia.org/resource/Telecommunication,1,1
17,Vodafone,http://dbpedia.org/resource/Vodafone,24073,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
18,Vodafone,http://dbpedia.org/resource/Vodafone,24074,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
19,Vodafone,http://dbpedia.org/resource/Vodafone,24075,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
20,Vodafone,http://dbpedia.org/resource/Vodafone,24076,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
21,Vodafone,http://dbpedia.org/resource/Vodafone,24077,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
22,Vodafone,http://dbpedia.org/resource/Vodafone,24078,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
23,Vodafone,http://dbpedia.org/resource/Vodafone,24079,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
24,Vodafone,http://dbpedia.org/resource/Vodafone,24080,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
25,Vodafone,http://dbpedia.org/resource/Vodafone,24081,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
17,BMW,http://dbpedia.org/resource/BMW,23820,Cars,http://dbpedia.org/resource/Automotive_industry,1,1
18,BMW,http://dbpedia.org/resource/BMW,23821,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
19,BMW,http://dbpedia.org/resource/BMW,23822,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
20,BMW,http://dbpedia.org/resource/BMW,23823,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
21,BMW,http://dbpedia.org/resource/BMW,23824,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
22,BMW,http://dbpedia.org/resource/BMW,23825,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
23,BMW,http://dbpedia.org/resource/BMW,23826,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
24,BMW,http://dbpedia.org/resource/BMW,23827,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
25,BMW,http://dbpedia.org/resource/BMW,23828,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
26,BMW,http://dbpedia.org/resource/BMW,23829,Cars,http://dbpedia.org/resource/Automotive_industry,0,0
18,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22232,Software,http://dbpedia.org/resource/Software,1,0
19,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22233,Software,http://dbpedia.org/resource/Software,0,0
20,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22234,Software,http://dbpedia.org/resource/Software,0,0
21,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22235,Software,http://dbpedia.org/resource/Software,0,0
22,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22236,Software,http://dbpedia.org/resource/Software,0,0
23,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22237,Software,http://dbpedia.org/resource/Software,0,0
24,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22238,Software,http://dbpedia.org/resource/Software,0,0
25,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22239,Software,http://dbpedia.org/resource/Software,0,0
26,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22240,Software,http://dbpedia.org/resource/Software,0,0
27,Disney,http://dbpedia.org/resource/The_Walt_Disney_Company,22241,Software,http://dbpedia.org/resource/Software,0,0
19,UPS,http://dbpedia.org/resource/United_Parcel_Service,21829,Retail,http://dbpedia.org/resource/Retail_industry,1,0
20,UPS,http://dbpedia.org/resource/United_Parcel_Service,21830,Retail,http://dbpedia.org/resource/Retail_industry,0,0
21,UPS,http://dbpedia.org/resource/United_Parcel_Service,21831,Retail,http://dbpedia.org/resource/Retail_industry,0,0
22,UPS,http://dbpedia.org/resource/United_Parcel_Service,21832,Retail,http://dbpedia.org/resource/Retail_industry,0,0
23,UPS,http://dbpedia.org/resource/United_Parcel_Service,21833,Retail,http://dbpedia.org/resource/Retail_industry,0,0
24,UPS,http://dbpedia.org/resource/United_Parcel_Service,21834,Retail,http://dbpedia.org/resource/Retail_industry,0,0
25,UPS,http://dbpedia.org/resource/United_Parcel_Service,21835,Retail,http://dbpedia.org/resource/Retail_industry,0,0
26,UPS,http://dbpedia.org/resource/United_Parcel_Service,21836,Retail,http://dbpedia.org/resource/Retail_industry,0,0
27,UPS,http://dbpedia.org/resource/United_Parcel_Service,21837,Retail,http://dbpedia.org/resource/Retail_industry,0,0
28,UPS,http://dbpedia.org/resource/United_Parcel_Service,21838,Retail,http://dbpedia.org/resource/Retail_industry,0,0
20,Cisco,http://dbpedia.org/resource/Cisco_System,20922,Technology,http://dbpedia.org/resource/Technology,1,0
21,Cisco,http://dbpedia.org/resource/Cisco_System,20923,Technology,http://dbpedia.org/resource/Technology,0,0
22,Cisco,http://dbpedia.org/resource/Cisco_System,20924,Technology,http://dbpedia.org/resource/Technology,0,0
23,Cisco,http://dbpedia.org/resource/Cisco_System,20925,Technology,http://dbpedia.org/resource/Technology,0,0
24,Cisco,http://dbpedia.org/resource/Cisco_System,20926,Technology,http://dbpedia.org/resource/Technology,0,0
25,Cisco,http://dbpedia.org/resource/Cisco_System,20927,Technology,http://dbpedia.org/resource/Technology,0,0
26,Cisco,http://dbpedia.org/resource/Cisco_System,20928,Technology,http://dbpedia.org/resource/Technology,0,0
27,Cisco,http://dbpedia.org/resource/Cisco_System,20929,Technology,http://dbpedia.org/resource/Technology,0,0
28,Cisco,http://dbpedia.org/resource/Cisco_System,20930,Technology,http://dbpedia.org/resource/Technology,0,0
29,Cisco,http://dbpedia.org/resource/Cisco_System,20931,Technology,http://dbpedia.org/resource/Technology,0,0
21,HP,http://dbpedia.org/resource/Hewlett-Packard,19732,Technology,http://dbpedia.org/resource/Technology,1,0
22,HP,http://dbpedia.org/resource/Hewlett-Packard,19733,Technology,http://dbpedia.org/resource/Technology,0,0
23,HP,http://dbpedia.org/resource/Hewlett-Packard,19734,Technology,http://dbpedia.org/resource/Technology,0,0
24,HP,http://dbpedia.org/resource/Hewlett-Packard,19735,Technology,http://dbpedia.org/resource/Technology,0,0
25,HP,http://dbpedia.org/resource/Hewlett-Packard,19736,Technology,http://dbpedia.org/resource/Technology,0,0
26,HP,http://dbpedia.org/resource/Hewlett-Packard,19737,Technology,http://dbpedia.org/resource/Technology,0,0
27,HP,http://dbpedia.org/resource/Hewlett-Packard,19738,Technology,http://dbpedia.org/resource/Technology,0,0
28,HP,http://dbpedia.org/resource/Hewlett-Packard,19739,Technology,http://dbpedia.org/resource/Technology,0,0
29,HP,http://dbpedia.org/resource/Hewlett-Packard,19740,Technology,http://dbpedia.org/resource/Technology,0,0
30,HP,http://dbpedia.org/resource/Hewlett-Packard,19741,Technology,http://dbpedia.org/resource/Technology,0,0
22,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19551,Telecom,http://dbpedia.org/resource/Telecommunication,1,0
23,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19552,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
24,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19553,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
25,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19554,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
26,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19555,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
27,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19556,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
28,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19557,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
29,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19558,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
30,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19559,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
31,TIM,http://dbpedia.org/resource/Telecom_Italia_Mobile,19560,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
23,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19518,Telecom,http://dbpedia.org/resource/Telecommunication,1,1
24,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19519,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
25,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19520,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
26,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19521,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
27,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19522,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
28,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19523,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
29,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19524,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
30,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19525,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
31,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19526,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
32,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19527,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
33,NTT Docomo,http://dbpedia.org/resource/NTT_DoCoMo,19528,Telecom,http://dbpedia.org/resource/Telecommunication,0,0
24,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19479,Luxury,http://dbpedia.org/resource/Luxury_good,1,1
25,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19480,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
26,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19481,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
27,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19482,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
28,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19483,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
29,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19484,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
30,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19485,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
31,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19486,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
32,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19487,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
33,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19488,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
34,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19489,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
35,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19490,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
36,Louis Vuitton,http://dbpedia.org/resource/Louis_Vuitton,19491,Luxury,http://dbpedia.org/resource/Luxury_good,0,0
25,American Express,http://dbpedia.org/resource/American_Express,18780,Finance,http://dbpedia.org/resource/Finance_industry,1,1
26,American Express,http://dbpedia.org/resource/American_Express,18781,Finance,http://dbpedia.org/resource/Finance_industry,0,0
27,American Express,http://dbpedia.org/resource/American_Express,18782,Finance,http://dbpedia.org/resource/Finance_industry,0,0
28,American Express,http://dbpedia.org/resource/American_Express,18783,Finance,http://dbpedia.org/resource/Finance_industry,0,0
29,American Express,http://dbpedia.org/resource/American_Express,18784,Finance,http://dbpedia.org/resource/Finance_industry,0,0
30,American Express,http://dbpedia.org/resource/American_Express,18785,Finance,http://dbpedia.org/resource/Finance_industry,0,0
31,American Express,http://dbpedia.org/resource/American_Express,18786,Finance,http://dbpedia.org/resource/Finance_industry,0,0
32,American Express,http://dbpedia.org/resource/American_Express,18787,Finance,http://dbpedia.org/resource/Finance_industry,0,0
33,American Express,http://dbpedia.org/resource/American_Express,18788,Finance,http://dbpedia.org/resource/Finance_industry,0,0
34,American Express,http://dbpedia.org/resource/American_Express,18789,Finance,http://dbpedia.org/resource/Finance_industry,0,0
35,American Express,http://dbpedia.org/resource/American_Express,18790,Finance,http://dbpedia.org/resource/Finance_industry,0,0
36,American Express,http://dbpedia.org/resource/American_Express,18791,Finance,http://dbpedia.org/resource/Finance_industry,0,0
37,American Express,http://dbpedia.org/resource/American_Express,18792,Finance,http://dbpedia.org/resource/Finance_industry,0,0
26,Dell,http://dbpedia.org/resource/Dell,18303,Technology,http://dbpedia.org/resource/Technology,1,1
27,Dell,http://dbpedia.org/resource/Dell,18304,Technology,http://dbpedia.org/resource/Technology,0,0
28,Dell,http://dbpedia.org/resource/Dell,18305,Technology,http://dbpedia.org/resource/Technology,0,0
29,Dell,http://dbpedia.org/resource/Dell,18306,Technology,http://dbpedia.org/resource/Technology,0,0
30,Dell,http://dbpedia.org/resource/Dell,18307,Technology,http://dbpedia.org/resource/Technology,0,0
31,Dell,http://dbpedia.org/resource/Dell,18308,Technology,http://dbpedia.org/resource/Technology,0,0
32,Dell,http://dbpedia.org/resource/Dell,18309,Technology,http://dbpedia.org/resource/Technology,0,0
33,Dell,http://dbpedia.org/resource/Dell,18310,Technology,http://dbpedia.org/resource/Technology,0,0
34,Dell,http://dbpedia.org/resource/Dell,18311,Technology,http://dbpedia.org/resource/Technology,0,0
35,Dell,http://dbpedia.org/resource/Dell,18312,Technology,http://dbpedia.org/resource/Technology,0,0
27,Gillette,http://dbpedia.org/resource/Gillette_(brand),17832,Personal Care,http://dbpedia.org/resource/Personal_Care,1,0
28,Gillette,http://dbpedia.org/resource/Gillette_(brand),17833,Personal Care,http://dbpedia.org/resource/Personal_Care,0,0
29,Gillette,http://dbpedia.org/resource/Gillette_(brand),17834,Personal Care,http://dbpedia.org/resource/Personal_Care,0,0
30,Gillette,http://dbpedia.org/resource/Gillette_(brand),17835,Personal Care,http://dbpedia.org/resource/Personal_Care,0,0
31,Gillette,http://dbpedia.org/resource/Gillette_(brand),17836,Personal Care,http://dbpedia.org/resource/Personal_Care,0,0
32,Gillette,http://dbpedia.org/resource/Gillette_(brand),17837,Personal Care,http://dbpedia.org/resource/Personal_Care,0,0
