OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency,url entities,labels,dbo:capital,dbo:language,dbo:currency,labels url
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Africa/Luanda', ['Africa/ Luanda', 'africa/luanda', 'Africa/Luanda', 'africa/ luanda'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Luanda', ['Luanda', 'luanda'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Luanda,_Kenya', ['luanda, kenya', 'luanda,_kenya', 'Luanda,_Kenya', 'Luanda, Kenya'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/F.C._Luanda', ['F.C. Luanda', 'f.c. luanda', 'F. C. Luanda', 'f.c._luanda', 'F.C._Luanda', 'f. c. luanda'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/S.L._Benfica_(Luanda)', ['S.L._Benfica_(Luanda)', 'S.L. Benfica (Luanda)', 'S. L. Benfica ( Luanda)', 's.l. benfica (luanda)', 's.l._benfica_(luanda)', 's. l. benfica ( luanda)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Luanda,_The_Music_Factory', ['Luanda, The Music Factory', 'Luanda,_The_Music_Factory', 'luanda, the music factory', 'luanda,_the_music_factory'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Samba,_Luanda', ['Samba,_Luanda', 'Samba, Luanda', 'samba,_luanda', 'samba, luanda'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Bungo,_Luanda', ['Bungo,_Luanda', 'Bungo, Luanda', 'bungo,_luanda', 'bungo, luanda'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Viana,_Luanda', ['Viana, Luanda', 'Viana,_Luanda', 'viana, luanda', 'viana,_luanda'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,"('http://dbpedia.org/resource/Belas,_Luanda', ['Belas, Luanda', 'Belas,_Luanda', 'belas,_luanda', 'belas, luanda'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/Santo_André_(Porto_Novo)', ['Santo André (Porto Novo)', 'santo andré ( porto novo)', 'santo_andré_(porto_novo)', 'Santo_André_(Porto_Novo)', 'santo andré (porto novo)', 'Santo André ( Porto Novo)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/CF_Sanjoanense_(Porto_Novo)', ['CF Sanjoanense ( Porto Novo)', 'cf sanjoanense ( porto novo)', 'cf sanjoanense (porto novo)', 'CF_Sanjoanense_(Porto_Novo)', 'CF Sanjoanense (Porto Novo)', 'cf_sanjoanense_(porto_novo)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/Porto_Novo,_Cape_Verde', ['Porto Novo, Cape Verde', 'Porto_Novo,_Cape_Verde', 'porto novo, cape verde', 'porto_novo,_cape_verde'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/Porto_Novo_(disambiguation)', ['porto_novo_(disambiguation)', 'Porto Novo (disambiguation)', 'porto novo (disambiguation)', 'Porto_Novo_(disambiguation)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/Porto_Novo,_Cape_Verde_(municipality)', ['porto novo, cape verde (municipality)', 'porto_novo,_cape_verde_(municipality)', 'Porto Novo, Cape Verde (municipality)', 'Porto_Novo,_Cape_Verde_(municipality)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/Ponto_Novo', ['ponto_novo', 'Ponto Novo', 'ponto novo', 'Ponto_Novo'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,"('http://dbpedia.org/resource/Porto_Covo', ['porto_covo', 'Porto_Covo', 'porto covo', 'Porto Covo'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Africa/Gaborone', ['africa/ gaborone', 'Africa/Gaborone', 'africa/gaborone', 'Africa/ Gaborone'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Gaborone', ['gaborone', 'Gaborone'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Bank_Gaborone', ['bank gaborone', 'bank_gaborone', 'Bank Gaborone', 'Bank_Gaborone'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Christ_the_King_Cathedral_(Gaborone)', ['Christ the King Cathedral ( Gaborone)', 'Christ the King Cathedral (Gaborone)', 'christ_the_king_cathedral_(gaborone)', 'Christ_the_King_Cathedral_(Gaborone)', 'christ the king cathedral ( gaborone)', 'christ the king cathedral (gaborone)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Gaborone_Dam', ['Gaborone Dam', 'gaborone dam', 'Gaborone_Dam', 'gaborone_dam'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Gaborone_Derby', ['Gaborone Derby', 'gaborone_derby', 'gaborone derby', 'Gaborone_Derby'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Gaborone_United_S.C.', ['Gaborone United S. C.', 'gaborone united s. c.', 'Gaborone United S.C.', 'gaborone_united_s.c.', 'Gaborone_United_S.C.', 'gaborone united s.c.'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Kgosi_Gaborone', ['Kgosi Gaborone', 'kgosi_gaborone', 'Kgosi_Gaborone', 'kgosi gaborone'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/Gaborone_City_Council', ['gaborone city council', 'Gaborone_City_Council', 'Gaborone City Council', 'gaborone_city_council'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,"('http://dbpedia.org/resource/History_of_Gaborone', ['history_of_gaborone', 'history of gaborone', 'History_of_Gaborone', 'History of Gaborone'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Africa/Ouagadougou', ['Africa/ Ouagadougou', 'africa/ ouagadougou', 'Africa/Ouagadougou', 'africa/ouagadougou'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Ouagadougou', ['Ouagadougou', 'ouagadougou'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Stade_Municipal_(Ouagadougou)', ['Stade Municipal (Ouagadougou)', 'Stade_Municipal_(Ouagadougou)', 'stade municipal ( ouagadougou)', 'Stade Municipal ( Ouagadougou)', 'stade_municipal_(ouagadougou)', 'stade municipal (ouagadougou)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Ouagadougou_Cathedral', ['ouagadougou_cathedral', 'ouagadougou cathedral', 'Ouagadougou Cathedral', 'Ouagadougou_Cathedral'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/US_Ouagadougou', ['US Ouagadougou', 'us_ouagadougou', 'US_Ouagadougou', 'us ouagadougou'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Ouagadougou_Department', ['Ouagadougou_Department', 'ouagadougou_department', 'ouagadougou department', 'Ouagadougou Department'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Ouagadougou_Airport', ['ouagadougou_airport', 'Ouagadougou Airport', 'Ouagadougou_Airport', 'ouagadougou airport'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/University_of_Ouagadougou', ['University_of_Ouagadougou', 'university_of_ouagadougou', 'University of Ouagadougou', 'university of ouagadougou'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/Étoile_Filante_de_Ouagadougou', ['Étoile Filante de Ouagadougou', 'Étoile_Filante_de_Ouagadougou', 'étoile_filante_de_ouagadougou', 'étoile filante de ouagadougou'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,"('http://dbpedia.org/resource/International_School_of_Ouagadougou', ['international_school_of_ouagadougou', 'International School of Ouagadougou', 'International_School_of_Ouagadougou', 'international school of ouagadougou'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Africa/Bujumbura', ['africa/ bujumbura', 'Africa/ Bujumbura', 'africa/bujumbura', 'Africa/Bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura', ['bujumbura', 'Bujumbura'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_Province', ['bujumbura province', 'Bujumbura Province', 'Bujumbura_Province', 'bujumbura_province'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_attacks', ['bujumbura_attacks', 'bujumbura attacks', 'Bujumbura attacks', 'Bujumbura_attacks'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_Mairie_Province', ['Bujumbura Mairie Province', 'Bujumbura_Mairie_Province', 'bujumbura mairie province', 'bujumbura_mairie_province'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_International_Airport', ['Bujumbura_International_Airport', 'bujumbura_international_airport', 'bujumbura international airport', 'Bujumbura International Airport'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_Rural_Province', ['bujumbura_rural_province', 'Bujumbura Rural Province', 'Bujumbura_Rural_Province', 'bujumbura rural province'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Queen_of_the_World_Cathedral,_Bujumbura', ['Queen_of_the_World_Cathedral,_Bujumbura', 'queen of the world cathedral, bujumbura', 'Queen of the World Cathedral, Bujumbura', 'queen_of_the_world_cathedral,_bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/École_Belge_de_Bujumbura', ['école belge de bujumbura', 'École_Belge_de_Bujumbura', 'école_belge_de_bujumbura', 'École Belge de Bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/École_Française_de_Bujumbura', ['École_Française_de_Bujumbura', 'École Française de Bujumbura', 'école française de bujumbura', 'école_française_de_bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Africa/Bujumbura', ['africa/ bujumbura', 'Africa/ Bujumbura', 'africa/bujumbura', 'Africa/Bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura', ['bujumbura', 'Bujumbura'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_Province', ['bujumbura province', 'Bujumbura Province', 'Bujumbura_Province', 'bujumbura_province'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_attacks', ['bujumbura_attacks', 'bujumbura attacks', 'Bujumbura attacks', 'Bujumbura_attacks'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_Mairie_Province', ['Bujumbura Mairie Province', 'Bujumbura_Mairie_Province', 'bujumbura mairie province', 'bujumbura_mairie_province'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_International_Airport', ['Bujumbura_International_Airport', 'bujumbura_international_airport', 'bujumbura international airport', 'Bujumbura International Airport'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Bujumbura_Rural_Province', ['bujumbura_rural_province', 'Bujumbura Rural Province', 'Bujumbura_Rural_Province', 'bujumbura rural province'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/Queen_of_the_World_Cathedral,_Bujumbura', ['Queen_of_the_World_Cathedral,_Bujumbura', 'queen of the world cathedral, bujumbura', 'Queen of the World Cathedral, Bujumbura', 'queen_of_the_world_cathedral,_bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/École_Belge_de_Bujumbura', ['école belge de bujumbura', 'École_Belge_de_Bujumbura', 'école_belge_de_bujumbura', 'École Belge de Bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,"('http://dbpedia.org/resource/École_Française_de_Bujumbura', ['École_Française_de_Bujumbura', 'École Française de Bujumbura', 'école française de bujumbura', 'école_française_de_bujumbura'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cameroon,French,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,"('http://dbpedia.org/resource/American_School_of_Yaounde', ['American_School_of_Yaounde', 'American School of Yaounde', 'american_school_of_yaounde', 'american school of yaounde'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cameroon,French,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,"('http://dbpedia.org/resource/Canon_Yaounde_FC', ['Canon_Yaounde_FC', 'canon yaounde fc', 'Canon Yaounde FC', 'canon_yaounde_fc'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cameroon,French,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,"('http://dbpedia.org/resource/University_Teaching_Hospital_of_Yaounde', ['University Teaching Hospital of Yaounde', 'University_Teaching_Hospital_of_Yaounde', 'university teaching hospital of yaounde', 'university_teaching_hospital_of_yaounde'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cameroon,Eng.,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,"('http://dbpedia.org/resource/American_School_of_Yaounde', ['American_School_of_Yaounde', 'American School of Yaounde', 'american_school_of_yaounde', 'american school of yaounde'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cameroon,Eng.,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,"('http://dbpedia.org/resource/Canon_Yaounde_FC', ['Canon_Yaounde_FC', 'canon yaounde fc', 'Canon Yaounde FC', 'canon_yaounde_fc'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cameroon,Eng.,135.1,gen-60,Edouard Akame Mfoumou,Yaounde,1'601,CFA franc,"('http://dbpedia.org/resource/University_Teaching_Hospital_of_Yaounde', ['University Teaching Hospital of Yaounde', 'University_Teaching_Hospital_of_Yaounde', 'university teaching hospital of yaounde', 'university_teaching_hospital_of_yaounde'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cape Verde,Portuguese,7,lug-75,Antonio Gualberto do Rosario,Praia,320,Escudo,"('http://dbpedia.org/resource/Praia', ['Praia', 'praia'])",1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cape Verde,Portuguese,7,lug-75,Antonio Gualberto do Rosario,Praia,320,Escudo,"(""http://dbpedia.org/resource/Praia_d'Aranhas"", [""Praia d' Aranhas"", ""praia_d'aranhas"", ""praia d'aranhas"", ""praia d' aranhas"", ""Praia d'Aranhas"", ""Praia_d'Aranhas""])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
Cape Verde,Portuguese,7,lug-75,Antonio Gualberto do Rosario,Praia,320,Escudo,"('http://dbpedia.org/resource/Praia,_Cape_Verde_(municipality)', ['praia,_cape_verde_(municipality)', 'Praia, Cape Verde (municipality)', 'Praia,_Cape_Verde_(municipality)', 'praia, cape verde (municipality)'])",0,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,
